file_name,keywords,sound_id,sound_link,start_end_samples,manufacturer,license
Maria Hernandez Park September 1st.wav,Ambient;Exterior;Park;Brooklyn;Skateboard;Ambiance;Skatepark;Field-recording;City,324939,https://freesound.org/people/Veridiansunrise/sounds/324939,"[2098176, 3244336]",Veridiansunrise,http://creativecommons.org/licenses/by/3.0/
Traffic Light.wav,Traffic-Light;Stanmore;Sydney;Street;Petersham;Australia,325914,https://freesound.org/people/__O/sounds/325914,,__O,http://creativecommons.org/publicdomain/zero/1.0/
jettish.wav,jet;up;off;down;engine,138236,https://freesound.org/people/Timbre/sounds/138236,,Timbre,http://creativecommons.org/licenses/by-nc/3.0/
broken comms2.wav,talk;cuttoff;voice;skype;electrical;talking;communication;broken;damaged,209001,https://freesound.org/people/Nmb910/sounds/209001,"[544256, 1432940]",Nmb910,http://creativecommons.org/publicdomain/zero/1.0/
wind3.wav,gusts;storm;whind;whistling;wind,29532,https://freesound.org/people/eliasheuninck/sounds/29532,,eliasheuninck,http://creativecommons.org/publicdomain/zero/1.0/
Drinking Through Straw.wav,suction;air;drinking;contact;contact-mic;water;plastic;drink;mic;straw;cup;piezo;foley,269339,https://freesound.org/people/BluetoothBoy/sounds/269339,"[11776, 1317942]",BluetoothBoy,http://creativecommons.org/publicdomain/zero/1.0/
the swarm v31m3.wav,birds;roaring;roar;artifical;swarm;vampire;screech;twitter;insects;animals;noise;squawk;synthetic,130695,https://freesound.org/people/Setuniman/sounds/130695,,Setuniman,http://creativecommons.org/licenses/by/3.0/
Giant 1.wav,grumble;effects;voice;giant;sound,160765,https://freesound.org/people/jlseagull/sounds/160765,,jlseagull,http://creativecommons.org/licenses/by/3.0/
dull metal.wav,dull;metal,119870,https://freesound.org/people/kbnevel/sounds/119870,,kbnevel,http://creativecommons.org/publicdomain/zero/1.0/
Small Chain Clanging.wav,struck;tink;ring;hit;strike;metalliuc;ting;rubbed;clang;metal;ping;rub;chain;ringing;OWI;clank;steel;impact,325239,https://freesound.org/people/PsychoPancake/sounds/325239,,PsychoPancake,http://creativecommons.org/licenses/by-nc/3.0/
Hitting Tall Grass.wav,footsteps;grass;foot;fall;steps;running;feet;walk;step;footstep;meadow;run;walking;dry,319208,https://freesound.org/people/worthahep88/sounds/319208,,worthahep88,http://creativecommons.org/publicdomain/zero/1.0/
Thunder Storm Daytona 3.wav,field-recording;storm;rain;Thunder;wind,341332,https://freesound.org/people/Qwirkie/sounds/341332,"[610816, 1575333]",Qwirkie,http://creativecommons.org/licenses/by/3.0/
smoking in car.wav,car;smoking,67166,https://freesound.org/people/jrssandoval/sounds/67166,,jrssandoval,http://creativecommons.org/publicdomain/zero/1.0/
Huston we have a problem (before &amp; after cleaning).wav,72898;rudyiz2cool;cleaned;fbi;huston;police;radio;clean,80384,https://freesound.org/people/Timbre/sounds/80384,,Timbre,http://creativecommons.org/licenses/by-nc/3.0/
Subping03.wav,asdic;boot;das;ping;sonar;submarine;u-boot;uboat;underwater;water,31038,https://freesound.org/people/LG/sounds/31038,,LG,http://creativecommons.org/licenses/by/3.0/
sheep on pasture.wav,countryside;spring;farm;nature;field-recording;sheep,344940,https://freesound.org/people/Bluesy1905/sounds/344940,"[356864, 1083861]",Bluesy1905,http://creativecommons.org/licenses/by/3.0/
je_footstepsCement.wav,cement;footsteps;slippers,71903,https://freesound.org/people/cmusounddesign/sounds/71903,,cmusounddesign,http://creativecommons.org/licenses/by/3.0/
Geroezemoes.wav,buzzing;people,28653,https://freesound.org/people/abro/sounds/28653,"[401408, 1675736]",abro,http://creativecommons.org/licenses/by-nc/3.0/
paper01.wav,documents;paper;room;ruffling;sheets;shuffling,110451,https://freesound.org/people/freeborn/sounds/110451,,freeborn,http://creativecommons.org/publicdomain/zero/1.0/
0400 Traffic_police.wav,japan;subway;traffic;whistle;tokyo;field-recording;police,169102,https://freesound.org/people/bmoreno/sounds/169102,"[4610048, 5696577]",bmoreno,http://creativecommons.org/licenses/by/3.0/
"Crowd ambience, eating popcorn.wav",soundscape;popcorn;audience;ambience;people;crowd;field-recording,249940,https://freesound.org/people/IllusiaProductions/sounds/249940,,IllusiaProductions,http://creativecommons.org/licenses/by/3.0/
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav",construction;noise;ambience;siren;city;voices;people;field-recording;talk;birds;footsteps;gravel;foot;greece;wind;steps;windy;greek;zoom;athens;park;garden;walking;stereo;pebbles,265993,https://freesound.org/people/AstronautDown/sounds/265993,"[1845760, 2929315]",AstronautDown,http://creativecommons.org/licenses/by/3.0/
Fan_Ventilation_Stereo 4.wav,background-sound;white-noise;soundscape;ambience;ambient;background;atmo;ambiance;general-noise;atmosphere;atmos,241680,https://freesound.org/people/addiofbaddi/sounds/241680,"[0, 1207884]",addiofbaddi,http://creativecommons.org/publicdomain/zero/1.0/
Cicadas and birds in a hot summer noon.wav,birds;greece;forest;seashore;hot;zoom;cicadas;noon;summer;dry,187109,https://freesound.org/people/avakas/sounds/187109,,avakas,http://creativecommons.org/licenses/by/3.0/
150209 Trevor Webb Beard Trimming.wav,buzz;shaving;mechanical;cutting;clipper;machine;electric-razor;hair-trimming;hum;beard-trimming;OWI;noise;razor;shave,327008,https://freesound.org/people/Bleachbear/sounds/327008,"[52224, 793375]",Bleachbear,http://creativecommons.org/licenses/by-nc/3.0/
16_Rain_Light_Ocean_44_16.wav,drizzle;maine;ocean;rain;summer,126580,https://freesound.org/people/tomtenney/sounds/126580,"[2119168, 3255762]",tomtenney,http://creativecommons.org/licenses/by/3.0/
160718 HSN boy on tricycle passing by.wav,Castilla-Le;children;voices;Spain;street;n;people;field-recording;bicycle,351240,https://freesound.org/people/Bluesy1905/sounds/351240,"[1563136, 2404375]",Bluesy1905,http://creativecommons.org/licenses/by/3.0/
remix of 130879__frederic-font__05-hang-song-1.wav,marmbula;kalimba;mbira;hang;metal;looped;130879;frederic-font;twang,130882,https://freesound.org/people/Timbre/sounds/130882,"[81408, 1341503]",Timbre,http://creativecommons.org/licenses/by-nc/3.0/
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,background-sound;atmos;soundscape;general-noise;ambience;background;ambiance;ambient;noise;chainsaw;chain-saw;laubblaeser;atmo;h2n;atmosphere;field-recording;zoom;trimmer;leaf-blower;motorsense;brushcutter,188951,https://freesound.org/people/toam/sounds/188951,"[5231104, 6072147]",toam,http://creativecommons.org/licenses/by/3.0/
fridaynight.wav,busker;crowds;saxophone;street;traffic,98475,https://freesound.org/people/bulldozia/sounds/98475,"[1162752, 2324292]",bulldozia,http://creativecommons.org/licenses/by-nc/3.0/
ClockTicking.wav,environmental-sounds-research;purist;clock;mechanical;tick,13712,https://freesound.org/people/acclivity/sounds/13712,,acclivity,http://creativecommons.org/licenses/by-nc/3.0/
Running.wav,wind;hurry;steps;running;keys;stessed,170107,https://freesound.org/people/RackhamsReverse/sounds/170107,,RackhamsReverse,http://creativecommons.org/publicdomain/zero/1.0/
opening and closing a loft door.wav,loft;open;climb;close;squeak;creak;ladder;wooden;upstairs;door;iron-spring,250020,https://freesound.org/people/launemax/sounds/250020/,"[1757696, 2938730]",launemax,http://creativecommons.org/publicdomain/zero/1.0/
Breaking Glass .wav,Shatter;Glass;Break,204777,https://freesound.org/people/ngruber/sounds/204777,,ngruber,http://creativecommons.org/publicdomain/zero/1.0/
arsta.wav,ambient;dark-ambient;noise;soundscape,8110,https://freesound.org/people/funkis/sounds/8110,"[1479168, 2337482]",funkis,http://creativecommons.org/licenses/sampling+/1.0/
Dog splashing in a lake.wav,dog;dog-tags;field-recording;nature;water-splashing,24947,https://freesound.org/people/Terwelp/sounds/24947,,Terwelp,http://creativecommons.org/licenses/by/3.0/
20100402.Brugge.street.04.wav,horse;carriage;field-recording;street;talk;ambiance;travel;bruges,94404,https://freesound.org/people/dobroide/sounds/94404,,dobroide,http://creativecommons.org/licenses/by/3.0/
DOOR_sliding_fthrll.wav,slam;door;sliding-door;rolling,203087,https://freesound.org/people/fthrll/sounds/203087,,fthrll,http://creativecommons.org/publicdomain/zero/1.0/
20110220_river.wav,cordoba;field-recording;flood;water;waterfall,115413,https://freesound.org/people/dobroide/sounds/115413,"[4358144, 5024216]",dobroide,http://creativecommons.org/licenses/by/3.0/
20130723_Rain1.wav,horn;cars;rain;noise;city;town,203956,https://freesound.org/people/Zabuhailo/sounds/203956,"[175616, 1384909]",Zabuhailo,http://creativecommons.org/licenses/by/3.0/
SFX_001.wav,experimental;ambience;ambient;background;pad;atmosphere,205916,https://freesound.org/people/jdagenet/sounds/205916,,jdagenet,http://creativecommons.org/publicdomain/zero/1.0/
steel water.wav,clang;bowl;metal;steel,360595,https://freesound.org/people/Dere1ict/sounds/360595,,Dere1ict,http://creativecommons.org/licenses/by-nc/3.0/
A swing is squeaking at night. (Ukraine.wav,creak;squeak;night;creaking;swing;hight;metal;squeaking;kiev;blume;felix;ukraine,137271,https://freesound.org/people/felix.blume/sounds/137271,"[835072, 2033526]",felix.blume,http://creativecommons.org/publicdomain/zero/1.0/
Lively Forest Stream (loop).wav,Streamlet;Splash;Runlet;Waterfall;Forest;Woods;Water;Tiny;Brook;Drop;Stream;Creek;Marburg,144109,https://freesound.org/people/Oneirophile/sounds/144109,"[0, 1092753]",Oneirophile,http://creativecommons.org/licenses/by/3.0/
Bangles put on arm.wav,jewellery-bangle;silver;costume-jewellery;bangles;pretty;put-on-arm;crystal;ting;metallic;clang;metal;treasure;bangle;cling;feminine;jewellery;girly;OWI;trinkets,325613,https://freesound.org/people/140178sound/sounds/325613,,140178sound,http://creativecommons.org/licenses/by-nc/3.0/
AMB_Supermarket_BCN.wav,Ambient;Supermarket;Barcelona;beep;interior,190876,https://freesound.org/people/sunomono/sounds/190876,,sunomono,http://creativecommons.org/publicdomain/zero/1.0/
Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,jarred;animal;snort;pig;96khz;grun;oink;farm;nature;field-recording;gibb;animal-sounds,233179,https://freesound.org/people/JarredGibb/sounds/233179,,JarredGibb,http://creativecommons.org/publicdomain/zero/1.0/
Anti Air Gun (3 Sounds).wav,helicopter;Anti;base;air;gun;turret;defense;defence;sound,161429,https://freesound.org/people/ryanconway/sounds/161429,,ryanconway,http://creativecommons.org/licenses/by/3.0/
City Ambience w_ Car Passing_1-2.wav,ambience;car;city,86163,https://freesound.org/people/SteveMannella/sounds/86163,,SteveMannella,http://creativecommons.org/licenses/sampling+/1.0/
Goin wee wee.wav,flusing;peeing;splashing;toilet;urinate;urinating;water;weewee,22333,https://freesound.org/people/monterey2000/sounds/22333,"[66048, 1339566]",monterey2000,http://creativecommons.org/licenses/sampling+/1.0/
Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,gravel;passing;fordfiesta;vehicle;splash;mud;ford;car-pass;outdoors;puddle;car;drive-by;field-recording;engine,336847,https://freesound.org/people/omnisounddesign/sounds/336847,,omnisounddesign,http://creativecommons.org/licenses/by/3.0/
Baby crying slowed down.wav,voice;baby;pitch;crying;slowed;newborn;cry;human;slow;infant;shifted,243992,https://freesound.org/people/tomhannen/sounds/243992,"[228352, 1324202]",tomhannen,http://creativecommons.org/publicdomain/zero/1.0/
driving_buying_beer_on_sunday.wav,children;driving;radio;shopping;train,126517,https://freesound.org/people/nnus/sounds/126517,"[6667264, 7566390]",nnus,http://creativecommons.org/licenses/by-nc/3.0/
pc_mouse.wav,ambient;perception;contact-mic,168461,https://freesound.org/people/mitsuhito/sounds/168461,"[0, 1315392]",mitsuhito,http://creativecommons.org/licenses/by/3.0/
metro underground ambient noisy transport catalan barcelona minimal tickling glitch.wav,ambient;metro;noisy;transport;underground,126955,https://freesound.org/people/bulbastre/sounds/126955,"[3370496, 4331381]",bulbastre,http://creativecommons.org/licenses/by/3.0/
hugeSlidingDoorSlamECM800.wav,door;field-recording;metal;open;phoenix;shut;slam;urban;warehouse,31154,https://freesound.org/people/UATaudio/sounds/31154,"[149504, 941691]",UATaudio,http://creativecommons.org/licenses/by/3.0/
Boa Constrictor.wav,boa;constrictor;nature;rainforest;snake,33458,https://freesound.org/people/Kjell Persson/sounds/33458,,Kjell Persson,http://creativecommons.org/licenses/by/3.0/
bohinj_forestFootsteps.wav,ambiance;drops;field-recording;foot;forest;rain;step;woods,75094,https://freesound.org/people/LukeIRL/sounds/75094,"[69120, 1380908]",LukeIRL,http://creativecommons.org/licenses/by/3.0/
"Uh, Hi, Mom. I Crashed the Car.wav",teenager;phone-call;uh-hi-mom-i-crashed-the-car;mother;mom;uh;cell-phone;hi;crashed;cell;car;phone;car-crash;boy,157698,https://freesound.org/people/ecfike/sounds/157698,"[262144, 980350]",ecfike,http://creativecommons.org/publicdomain/zero/1.0/
Busy Coffee Shop.wav,barista;milk;coffee-shop;ambiance;field-recording;steamed;city,236336,https://freesound.org/people/ericdhunter/sounds/236336,"[1403392, 2191852]",ericdhunter,http://creativecommons.org/publicdomain/zero/1.0/
Water Pour and Drink.wav,pour;liquid;drink;thirsty;Water,276064,https://freesound.org/people/joeboarder14/sounds/276064,,joeboarder14,http://creativecommons.org/publicdomain/zero/1.0/
outdoors ambient windy wind leaves rustle.wav,ambient;leaves;outdoors;rustle;wind;windy,126971,https://freesound.org/people/bulbastre/sounds/126971,"[3794432, 5086168]",bulbastre,http://creativecommons.org/licenses/by/3.0/
vacuum power head.wav,vacuum;carpet;machine,144872,https://freesound.org/people/firefighterlintz/sounds/144872,"[351744, 1605994]",firefighterlintz,http://creativecommons.org/publicdomain/zero/1.0/
Buddhist Bells.wav,bell;bronze;buddhist;ring;small,189783,https://freesound.org/people/dnewtonjr/sounds/189783,,dnewtonjr,http://creativecommons.org/publicdomain/zero/1.0/
Packaging Paper Pen Scribble.wav,Scribble;dare-9;Paper;Pen;Record;Packaging;Crackle;Fire;Cackle;Sheet;Recording,140701,https://freesound.org/people/afleetingspeck/sounds/140701,,afleetingspeck,http://creativecommons.org/publicdomain/zero/1.0/
kitchen-door.wav,kitchen;squeaky;hinge;creaky;field-recording;door,143955,https://freesound.org/people/lundgree/sounds/143955,,lundgree,http://creativecommons.org/licenses/by/3.0/
cd_load_26sedit.wav,distorted;industrial;machines;noise;unprocessed,27776,https://freesound.org/people/irrlicht/sounds/27776,,irrlicht,http://creativecommons.org/licenses/by/3.0/
dishwasher beep and motor.wav,kitchen;machine;pump;beep;dishwasher;water,327898,https://freesound.org/people/cartoonrob/sounds/327898,"[1090048, 1936723]",cartoonrob,http://creativecommons.org/publicdomain/zero/1.0/
dryer_long_1.wav,wind;hairdryer;swoosh;UPF-CS14;dryer;air;upf,238395,https://freesound.org/people/amorralteixe/sounds/238395,"[113664, 1343420]",amorralteixe,http://creativecommons.org/publicdomain/zero/1.0/
Sugar Packet.wav,shake;paper;Bag;Sugar;Tea;rustle;shuffle;Coffee,326090,https://freesound.org/people/soundslikewillem/sounds/326090,,soundslikewillem,http://creativecommons.org/licenses/by-nc/3.0/
Heavy Rain 1.wav,Drops;Storm;Weather;Water;Rain;Thunderstorm;Thunder;Nature;Field-recording;Environment,346242,https://freesound.org/people/InSintesi/sounds/346242,,InSintesi,http://creativecommons.org/licenses/by/3.0/
Steps Indoor medium soft Shoe Sole accompanying wooden Floor hollow Big Room 5mx10mx6m.wav,Steps;Indoor;Walking,342973,https://freesound.org/people/breiti/sounds/342973,"[2761728, 3950861]",breiti,http://creativecommons.org/publicdomain/zero/1.0/
CivicSI.Accelerating.1.wav,field-recording;accelerating;car;engine;sound,51372,https://freesound.org/people/rfhache/sounds/51372,,rfhache,http://creativecommons.org/licenses/by/3.0/
Windshield Wiper.wav,Sweeping;Motor;Parts;Car;OWI;Windshield-Wiper,362923,https://freesound.org/people/shaderrow/sounds/362923,"[101376, 1380695]",shaderrow,http://creativecommons.org/licenses/by-nc/3.0/
Pasta bag shuffling.wav,Kitchen;Placing;Pasta;Counter;Countertop;Wrinkling;Handling;Plastic;Pantry;Plastic-rustling;High-frequencies;Shuffling;OWI;Full;Pasta-bag,365865,https://freesound.org/people/Jandre160108/sounds/365865,,Jandre160108,http://creativecommons.org/licenses/by-nc/3.0/
Oie 01.wav,bird;geese;goose,104959,https://freesound.org/people/Glaneur de sons/sounds/104959,"[32768, 1232688]",Glaneur de sons,http://creativecommons.org/licenses/by/3.0/
cooking onions.wav,kitchen;pan;onions;fried;fry;frying;cook;cooking;food;saut,332561,https://freesound.org/people/larasark/sounds/332561,,larasark,http://creativecommons.org/publicdomain/zero/1.0/
trainsounds.wav,car;lapping;metal;port;rail;rumble;screeching;trains;water,65367,https://freesound.org/people/jpberger/sounds/65367,"[8345600, 9366195]",jpberger,http://creativecommons.org/licenses/by-nc/3.0/
Creaking and squeaking of old headsets.wav,crackling;OWI;squeak;cracking;twisting;headsets;creaking;squeaking,366251,https://freesound.org/people/lostmaiden/sounds/366251,,lostmaiden,http://creativecommons.org/licenses/by-nc/3.0/
Rain_inside_of_a_Car.wav,falling;car;rain;drop;Rain-drops;ceiling;raining,143120,https://freesound.org/people/1pjladd2/sounds/143120,"[389632, 1544313]",1pjladd2,http://creativecommons.org/publicdomain/zero/1.0/
Crows chattering.wav,chattering;field-recording;birds;animals;crows,343429,https://freesound.org/people/firanthir/sounds/343429,"[799744, 1761553]",firanthir,http://creativecommons.org/publicdomain/zero/1.0/
picht-type-writer.wav,bell;paper;picht;type-writer,121241,https://freesound.org/people/ondrosik/sounds/121241,"[1020928, 1923440]",ondrosik,http://creativecommons.org/licenses/by/3.0/
Noise Monster 7.wav,monster;ambiance;noise,238060,https://freesound.org/people/HaraldDeLuca/sounds/238060,,HaraldDeLuca,http://creativecommons.org/licenses/by/3.0/
klotsend ad veerpont ii.wav,liquid;river;field-recordig;water,242157,https://freesound.org/people/aifoon/sounds/242157,"[3584, 756177]",aifoon,http://creativecommons.org/licenses/by-nc/3.0/
landschap3.wav,ambient;birds;breeze;fields;landscape;tjeelp;tweet,96511,https://freesound.org/people/Eelke/sounds/96511,,Eelke,http://creativecommons.org/licenses/by-nc/3.0/
Summer Ambiance .wav,birds;cicada;ambiance;country;nature;summer,329371,https://freesound.org/people/PrincessGrace/sounds/329371,"[1103872, 2160451]",PrincessGrace,http://creativecommons.org/publicdomain/zero/1.0/
lakeside birds 2.wav,bird;birds;birdsong;field-recording;lake;nature,73617,https://freesound.org/people/jus/sounds/73617,,jus,http://creativecommons.org/licenses/by/3.0/
"Shopping Mall, ambience.wav",people;shopping;cafeteria;mall;ambience,249953,https://freesound.org/people/IllusiaProductions/sounds/249953,,IllusiaProductions,http://creativecommons.org/licenses/by/3.0/
rbh train freight by.wav,field-recording;subway;train,1934,https://freesound.org/people/RHumphries/sounds/1934,"[2291200, 3147582]",RHumphries,http://creativecommons.org/licenses/by/3.0/
Static buzz_ Jet Take-off.wav,white-noise;OWI;take-off;radio;steam;hissing;aviation;takeoff;static;plane;white;interference-from-TV;wad-of-energy;hiss;launch;stream;jet;electrostatic;noise;Jet;engine,327598,https://freesound.org/people/JanevdMerwe1995/sounds/327598,"[1948160, 2775498]",JanevdMerwe1995,http://creativecommons.org/licenses/by-nc/3.0/
squeaky metal swing.wav,grating;field-recording;park;noise,201949,https://freesound.org/people/cognito perceptu/sounds/201949,"[598528, 1868063]",cognito perceptu,http://creativecommons.org/publicdomain/zero/1.0/
feed back.wav,beep;feedback;noise;phone;tone,22409,https://freesound.org/people/colinbf423/sounds/22409,"[3072, 1207412]",colinbf423,http://creativecommons.org/publicdomain/zero/1.0/
Ferry II.wav,boat;ship;ferry;waves;sea;ocean;diesel;engines;field-recording;passenger;engine,353181,https://freesound.org/people/billox30/sounds/353181,"[568832, 1295311]",billox30,http://creativecommons.org/licenses/by/3.0/
Plastic Scraping On Wood Floor.wav,Plastic;dragged;shoe;dragging;covered;industrial;swoosh;drug;drags;wood;drag;outdoor;scrape;outside;scrapes;outdoors;scraping;park;floor;scraped,342940,https://freesound.org/people/Ev-Dawg/sounds/342940,,Ev-Dawg,http://creativecommons.org/publicdomain/zero/1.0/
Footdrags Dirt.wav,ground;footsteps;stepping;foot;tennis-shoes;steps;step;feet;walk;running;tennis;footstep;dirt;shoes;walking;foley,319209,https://freesound.org/people/worthahep88/sounds/319209,,worthahep88,http://creativecommons.org/publicdomain/zero/1.0/
Toy Car.wav,playing;wheels;fun;tiny;crank;kids;toy-car;winding;children;fast;car;OWI;toy;play;wheel,366914,https://freesound.org/people/Marissrar/sounds/366914,,Marissrar,http://creativecommons.org/publicdomain/zero/1.0/
FOREST-SOUNDS.wav,birds;traffic;ambiance;nature;field-recording;city,343720,https://freesound.org/people/Maurice_J_K/sounds/343720,"[509440, 1333104]",Maurice_J_K,http://creativecommons.org/licenses/by/3.0/
Gas Oven.wav,kitchen;oven;cooking;gas-oven;cook,181620,https://freesound.org/people/ancorapazzo/sounds/181620,,ancorapazzo,http://creativecommons.org/licenses/by/3.0/
glissando1b.wav,ding-dong;harmony;door;signal;cellphone,237269,https://freesound.org/people/vumseplutten1709/sounds/237269,"[881664, 1779173]",vumseplutten1709,http://creativecommons.org/licenses/by/3.0/
gym machine.wav,mechanic;gym;machine,197887,https://freesound.org/people/Millavsb/sounds/197887,,Millavsb,http://creativecommons.org/publicdomain/zero/1.0/
Hand-held shower head handling .wav,dragging;OWI;clang;shower-head;grind;grinding;clanging;metal;scraping;scrape;handle;handling;drag,366294,https://freesound.org/people/lostmaiden/sounds/366294,"[1359360, 2066003]",lostmaiden,http://creativecommons.org/licenses/by-nc/3.0/
MrM_OldAutoFocus_Nikon2020.wav,motorwind;motordrive;wind;35mm;2020;auto;focus;nikkor;nikon;servo;sound;vintage;h1;foley;zoom;camera;old,116608,https://freesound.org/people/mrmccormack/sounds/116608,,mrmccormack,http://creativecommons.org/publicdomain/zero/1.0/
Interior Plane Taking Off.wav,jet-engine;cabin-noise;airplane;aviation;takeoff;plane;aircraft;running;runway;launch;jet;take-off;flight;engines;engine,341590,https://freesound.org/people/Vurca/sounds/341590,"[1167360, 2059185]",Vurca,http://creativecommons.org/publicdomain/zero/1.0/
twohoundsbarking.wav,barking;dogs;field;hounds;recording,46867,https://freesound.org/people/kscanlon/sounds/46867,"[260096, 1249848]",kscanlon,http://creativecommons.org/licenses/by/3.0/
WILDTRACK Mixed woodland in Minnesota USA.wav,birdsong;soundscape;song;calls;forest;woods;wildtrack;daytime;minnesota;woodland;icuttv;crow;nature;usa;field-recording;wildlife;atmos,181360,https://freesound.org/people/icuttv/sounds/181360,"[9728, 1317523]",icuttv,http://creativecommons.org/publicdomain/zero/1.0/
Static sputtering noises 1.wav,radio;sputter;disturbence;static;crackle;receiver;antenna;noise;foley,182928,https://freesound.org/people/jobro/sounds/182928,"[6115328, 6925910]",jobro,http://creativecommons.org/licenses/by/3.0/
Ketchup Farts #2.wav,Kitchen;Ketchup;Mayonnaise;Cooking;Farts;Condiments;Mustard,345707,https://freesound.org/people/TheKetchupCenter/sounds/345707/,"[313344, 1380941]",TheKetchupCenter,http://creativecommons.org/publicdomain/zero/1.0/
Serving Water Slowly.wav,kitchen;Cold;Slowly;Glass;Water;pour;water;Drink;cup;Liquid;liquid;Serving;pouring,241880,https://freesound.org/people/rafael45/sounds/241880,,rafael45,http://creativecommons.org/publicdomain/zero/1.0/
Knocking at door.wav,doors;knock;wood,82421,https://freesound.org/people/Vampirella17/sounds/82421,,Vampirella17,http://creativecommons.org/publicdomain/zero/1.0/
LittleChild_WoodenFloorFootsteps_01.wav,excited;footsteps;Child;steps;wood;hardwood;feet;wooden;floor;shoes;Little;foley,235776,https://freesound.org/people/Lex777/sounds/235776,,Lex777,http://creativecommons.org/licenses/by/3.0/
MagnusSmallElectrWindOrgan.wav,chord;magnus;organ;sampled;wind,28304,https://freesound.org/people/HerbertBoland/sounds/28304,"[25088, 1069373]",HerbertBoland,http://creativecommons.org/licenses/by/3.0/
Metal_Workshop_3.wav,Cutters;Operation;welding;Sounds;press;Mechanical;Machinery;Slicers;Workshop;Cutting;MACHINE;hall;Metal;GENERATOR;Grinder;Hitting,337449,https://freesound.org/people/ivolipa/sounds/337449,"[1134592, 1955476]",ivolipa,http://creativecommons.org/publicdomain/zero/1.0/
"Ninos y monitores en el comedor, catalan_castellano.wav",elsodelescultures;talk;children;teachers;dining-room;lunch;IESPauClaris;food;talking;kids;school,238223,https://freesound.org/people/IESPAUCLARIS/sounds/238223/,,IESPAUCLARIS,http://creativecommons.org/licenses/by/3.0/
Plane Edge540 Hannes Arch.wav,field-recording;airplane;propeller;fly-by;plane;aircraft;crowd;applause;flight,233582,https://freesound.org/people/burkay/sounds/233582,,burkay,http://creativecommons.org/publicdomain/zero/1.0/
practice.wav,heartbeat;dramatic;running;thunder;fire,164814,https://freesound.org/people/jdarms01/sounds/164814,"[272384, 1552239]",jdarms01,http://creativecommons.org/licenses/by/3.0/
treefrogs.wav,ambience;night;swamp;frogs;nature;field-recording,242506,https://freesound.org/people/reg7783/sounds/242506,"[4112896, 5119593]",reg7783,http://creativecommons.org/publicdomain/zero/1.0/
